# iname	color	charname
sweetcorn	#426342	
sweetcorn	#a1fae7	
sweetcorn	#78d3b5	
sweetcorn	#22978d	
strawberry	#005858	
strawberry	#bfd8fa	
strawberry	#82b5e7	
strawberry	#2e63bf	
strawberry	#224278	
moreberry *	#c5c5dc	
poled and planted earth	#9d9dc3	
poled and planted humus	#7575ab	
poled and planted earth	#494278	
poled and planted humus	#dcc5dc	
killer tomato	#c39dc3	
wheat	#ab75ab	
arched window	#784978	
potato	#e4bcbc	
potato	#d18f8f	Malroth
rice	#bf6060	
rice	#ce535f	
potato	#ffa682	Gillian
killer tomato *	#f58763	Finn
corrupted coralily	#c9634d	
manky medicinal bush	#973832	
putrefied plumberry	#fab06e	
perished palm	#e78d42	
seedy-looking cedar	#bf5822	Malroth
arched window	#823816	
arched window	#fffefc	
designer's sunglasses	#ebe7e4	
plain clothes	#d8d1cd	
plain clothes	#c5bcb6	
training togs	#b2a69d	
training togs	#a08f84	
<Oaken Club>	#8d786c	
<Stone Axe>	#756358	
<Spiked Club>	#fefefc	
<Iron Axe>	#ebe9e4	
<Night Club>	#d8d4cd	
<Battleaxe>	#c5c1b6	
<Gigantes's Club>	#b2ae9d	
<Hela's Hammer>	#a09a84	
stackable slime	#8d846c	
stackable slime	#756d58	
stackable slime	#fdfcff	
stackable slime	#ebe4e7	
stackable slime	#d8cdd0	
stackable slime	#c5b6ba	
stackable slime	#b29da3	
stackable slime	#a0848c	
simple door 8	#8d6c75	
simple door 8	#755860	
simple door 8	#ffcb98	
simple door 8	#f2b786	
simple door 8	#e0a77a	
simple door 8	#cd976e	
simple door 8	#bc865d	
simple door 8	#a5704b	
simple door	#905b38	
simple door	#784d32	
simple door	#ffdaa4	
simple door	#fdc492	
simple door	#e6af80	
simple door	#d4a073	
simple door	#c19363	
simple door	#ae8053	
simple door x2	#996e42	
simple door x2	#805b38	
simple door x2	#ffd1a1	
simple door x2	#f8bd91	
simple door x2	#e8aa82	
simple door x2	#d19573	
simple door x2	#b97d5f	
simple door x2	#a66851	
scales	#915340	
builder's workbench	#774232	
pressure plate	#000000	
activator	#000000	
button	#000000	
upwards-pointing activator	#000000	
downwards-pointing activator	#000000	
pressure plate	#000000	
pressure plate	#000000	
pressure plate	#000000	
pressure plate	#000000	
pressure plate	#000000	
pressure plate	#000000	
pressure plate	#000000	
pressure plate	#000000	
activator	#000000	
activator	#000000	
activator	#000000	
activator	#000000	
activator	#000000	
activator	#000000	
activator	#000000	
activator	#000000	
button	#000000	
button	#000000	
button	#000000	
button	#000000	
button	#000000	
button	#000000	
button	#000000	
button	#000000	
upwards-pointing activator	#000000	
upwards-pointing activator	#000000	
upwards-pointing activator	#000000	
upwards-pointing activator	#000000	
upwards-pointing activator	#000000	
upwards-pointing activator	#000000	
upwards-pointing activator	#000000	
upwards-pointing activator	#000000	
downwards-pointing activator	#000000	
downwards-pointing activator	#000000	
downwards-pointing activator	#000000	
downwards-pointing activator	#000000	
downwards-pointing activator	#000000	
downwards-pointing activator	#000000	
downwards-pointing activator	#000000	
downwards-pointing activator	#000000	
training togs	#000000	
savoury smoothie	#000000	
witch's hat	#000000	
bow	#000000	
red rose	#000000	
moustache	#000000	
blusher	#000000	
woosh widget	#000000	
sizz snare	#000000	
pet bowl	#000000	
crack contraption	#000000	
wall hanging		
earth		
grassy earth		
limegrassy earth		
tilled soil		
clay		
mossy earth		
chalk		
chunky chalk		
obsidian		
sand		
sandstone		
sandy sandstone		
bloodstone		
ash		
<<fake spoiled soil>>		
poisonous peat		
powder snow		
snow		
ice		
clodstone		
crumbly clodstone		
basalt		
<<invisiblock>>		
lava		
vault wall		
viny vault wall		
cracked vault wall		
mud-brick wall		
timbered foundation		
timbered wall 8		
timbered capital		
hardwood pedestal		
hardwood column 8		
hardwood capital		
stone foundation		
stone wall 8		
spoiled silver birch		
castle foundation		
castle wall 8		
castle crenellation		
castle battlement		
wooden wall		
plumberry lumber		
flagstone		
straw floor		
wooden floor		
hardwood tile		
purple flagstone		
blue flagstone		
carpet 8		
fancy carpet		
castle tile		
carved castle tile		
orange erdrick's choice award		
yellow erdrick's choice award		
bronze temple tile		
blue temple tile		
green erdrick's choice award		
boogie-woogie bar'		
passionate dance'		
coal vein		
copper vein		
iron vein		
silver vein		
gold vein		
zenithium vein *		
ruby vein *		
mythril vein *		
orichalcum vein *		
turquoise erdrick's choice award		
cyan erdrick's choice award		
golemite		
palm lumber		
cedar lumber		
time-honoured turf		
8-bit brick		
olde worlde wall		
eyewall		
blue erdrick's choice award		
witchgrassy earth		
lemongrassy earth		
pet bowl		
indigo erdrick's choice award		
strange sand		
rope ladder		
street corner'		
bonestone		
pet bowl		
black block		
grey block		
white block		
burgundy block		
red block		
purple block		
pink block		
green block		
lime-green block		
orange block		
yellow block		
navy block		
blue block		
beige block		
cyan block		
silver block		
gold block		
slimy block		
retro roof		
gravel block		
fortress foundation		
fortress wall		
fortess battlement		
scaled wall block		
wall hanging		
diamond vein *		
terraforma tiles		
slime light		
king slime light		
slimy eye		
slimy mouth		
training togs		
training togs		
training togs		
leaves		
pet bowl		
violet erdrick's choice award		
silver ingot		
wooden doormat		
stone doormat		
nameplate		
deckchair		
boogie board		
chain		
concrete block		
iron block		
tattered standard		
slatted wall block		
coral		
colossal coral		
first aid kit		
pet bowl		
zapphire *		
pink erdrick's choice award		
egg		
milkblossom seed		
pet bowl		
dartboard		
gratitude point		
big gratitude point		
bigger gratitude point		
sideways-pointing pusher		
upwards-pointing pusher		
downwards-pointing pusher		
(light beacon)		
red-brick floor		
crazy paving		
copper wall		
marble		
silver birch lumber		
small window		
white erdrick's choice award		
legendary line art		
dragon quest logo		
incense burner		
zap trap		
zoompoline		
silver birch tree		
ornamental medicinal herb		
burgundy erdrick's choice award		
lattice wall		
ra's mirror **		
banana peel		
stackable slime		
ornamental chimera wing		
echo flute		
<<?>>		
pet bowl		
magic crystal		
silver shards *		
training togs		
training togs		
tortoise shell		
tortoise shell		
lattice wall		
lattice wall		
lattice wall		
bell		
war banner *		
<<shallow plasma>>		
<<plasma>>		
sunbrella		
connecting couch midsection		
stone handrail		
stone handrail		
tortoise shell		
stone workbench		
sun sigil block		
star sigil block		
moon sigil block		
water sigil bloack		
soul sigil block		
grass		
stalwort		
medicinal shrub		
coralily		
daffodaisy		
milkblossom		
ivy		
tingleweed		
cotton plant		
marshroom		
large lily pad		
fibrous fern		
bigonia		
pongsettia		
sandwort		
prickly peach cactus		
cactus crown		
cactus trunk		
witchgrass		
bogwart		
frogstool		
tainted tree		
twisted tree trunk		
freezia		
septic shrub		
shadowgrass		
plumberry seedling		
plumberry sapling		
plumberry tree		
plumberry stump		
big plumberry tree		
palm seedling		
palm sapling		
palm tree		
palm tree stump		
cedar seedling		
cedar sapling		
cedar tree		
cedar stump		
snowy cedar		
pumice		
dead tree		
metal memorial		
huge horn		
wooden memorial		
gravestone		
dilapidated crate		
broken brickwork		
tortoise shell		
broken barricade		
tattered tent		
crate		
barrel		
pot		
leather sack		
washtub		
signpost		
diagonal fencing		
barricade		
ladder		
stone steps		
armourer's sign		
shop sign		
inn sign		
goldinoggin *		
porched window		
arched window		
stone window		
wooden door		
magic door		
cell door 8		
steel doors		
wooden gate		
little lock		
buttress		
ridge tiling		
well		
torch		
sconce		
bonfire		
cookfire		
wall lamp		
candlestick		
candelabrum		
brazier		
pot plant		
bottles		
crockery		
dressing table		
small table		
big table		
stone table		
dining table		
wooden stool		
comfy stool		
throne *		
straw mattress		
simple bed		
king-sized bed		
towel rail		
bookcase		
chest of drawers		
wardrobe		
grandfather clock		
ornamental swords		
ornamental armour		
stove		
sink		
bathtub		
goddess statue		
clover carving		
item display stand		
treasure chest		
decorative drapery		
bold banner		
big bold banner		
pretty pillar		
column		
stone coping		
stone capping		
decorative shield		
small stones		
big rock		
bones		
dragon bones		
chains		
dragonlord's standard *		
vile tile		
seal of erdrick		
draconic column		
vile visage		
evil idol		
beastly burrow		
helliportal		
spike trap		
dragonlord's throne *		
pristine plumberry		
upward-pointing vile vines		
downward-pointing vile vines		
vertical vile vines		
tortoise shell		
ancient ruins'		
fierce fountain		
to play with passion'		
tree stump		
slime balloons		
stone workbench		
wooden workbench		
multipurpose workbench		
colour wheel		
forge		
hela's hammer sign		
brick barbecue		
stone handrail		
sewing station		
stone handrail		
machinist's workbench		
welder's workbench		
tortoise shell		
stone handrail		
furnace		
old book		
old note		
millenium buggy buggy ***		
cantlin shield		
daytime palace'		
night-time palace'		
infernal ivy		
cannon		
piston		
lattice wall		
lattice wall		
ballista		
magic cannon		
roof tiling		
pitched tiling		
outer corner tiling		
inner corner tiling		
colossal coffer		
armoire		
lattice wall		
equipment display stand		
straight track		
curved track		
sloped track		
stop sign		
wooden minecart 8		
spiked metal minecart 8		
tortoise shell		
tortoise shell		
leather armour		
leather armour		
leather armour		
leather armour		
leather armour		
leather armour		
wrecking ball		
portrait of a lady		
fountain		
leather armour		
leather armour		
cloak of evasion		
stone handrail		
straw door		
wooden steps		
chimney		
stone stool		
cloak of evasion		
window		
gangrenous gladiolus		
gangrenous gladiolus		
filter fountain *		
hexed chest		
teleportal *		
lattice wall		
soaring spirit'		
paradise'		
tiled window		
branch		
mini merlon		
cloak of evasion		
gentleman sign		
lady sign		
bench		
bar counter		
chic chair		
cask		
naughty night light *		
comfy sofa		
princess-sized bed		
extravagant table		
round table		
fireplace		
plant pot		
player lyre *		
dumb-bells		
stationary		
water jug		
tea service		
salad plate		
fish dish		
bread basket		
meat feast		
treasures 'n' trapdoors		
stuffed hammerhood		
powie yowie rug		
cherry blossom tree		
healix the hero *		
large lock		
stone lantern		
blighted branch		
cloak of evasion		
cloak of evasion		
cloak of evasion		
cloak of evasion		
wall hanging		
drapery door		
drapery door		
drapery door		
iron workbench		
iron workbench		
rice ball arrangement		
light bulb *		
padded floor		
rose leaves		
rose		
blossoming shrub *		
oversized shrub		
reeds		
big bramble		
bramble		
animal bones		
coneconut tree		
fiddleheads		
glowdrop		
blocky branch		
blocky buttress root		
blocky root		
acorn		
splashing stone		
horizontal log		
vertical log		
log wall corner		
stone handrail		
flat wooden roofing		
column crown		
rustic door		
drapery door		
brick border 8		
straight brick border		
ceramic sconce		
wall hanging		
framed follage *		
bunting		
cloth sacks		
rustic desk		
rustic bed		
coffer		
planter		
(planter)		
flat fancy roofing		
flat fancy roofing		
flat fancy roofing		
flat fancy roofing		
flat fancy roofing		
flat fancy roofing		
flat fancy roofing		
flat fancy roofing		
pitched fancy roofing		
pitched fancy roofing		
pitched fancy roofing		
pitched fancy roofing		
pitched fancy roofing		
pitched fancy roofing		
pitched fancy roofing		
pitched fancy roofing		
fancy outer corner roofing		
fancy outer corner roofing		
fancy outer corner roofing		
fancy outer corner roofing		
fancy outer corner roofing		
fancy outer corner roofing		
fancy outer corner roofing		
fancy outer corner roofing		
fancy inner corner roofing		
fancy inner corner roofing		
fancy inner corner roofing		
fancy inner corner roofing		
fancy inner corner roofing		
fancy inner corner roofing		
fancy inner corner roofing		
fancy inner corner roofing		
fancy roof window		
fancy roof window		
fancy roof window		
fancy roof window		
fancy roof window		
fancy roof window		
fancy roof window		
fancy roof window		
fancy roofing ridge		
fancy roofing ridge		
fancy roofing ridge		
fancy roofing ridge		
fancy roofing ridge		
fancy roofing ridge		
fancy roofing ridge		
fancy roofing ridge		
fancy roofing		
fancy roofing		
fancy roofing		
fancy roofing		
fancy roofing		
fancy roofing		
fancy roofing		
fancy roofing		
poison-filled bottomless pot		
lava-filled bottomless pot		
plasma-filled bottomless pot		
<<indestuctable blodblock>>		
<<malroth's club ***>>		
ridge tiling		
ridge tiling		
goldinoggin *		
gold brick		
vertical log shoe		
curtain		
curtain		
curtain		
floating fragments		
ramp		
blooming poxglove		
budding poxglove		
wide vile vines		
small vile vines		
long vile vines		
dressing room		
moonbrooke chapel		
anti-scare force fortifications		
anti-hair force fortifications		
ballista baricade		
builder's emblem		
bathhouse		
bab's bedroom		
sturdy scaffold		
dungeon		
bell room		
potato patch		
castle walls		
simple gate		
gladiolus seed		
the ark		
great gate		
arm raid shelter		
ark airframe		
holy alter		
silver tile		
lift		
power tower 2		
anti-air force fortifications		
energisation station		
bag		
supersized steak set *		
fruity parfait *		
soup and salad set		
pot and shot set		
rockbomb bed *		
stuffed spiked hare *		
fat rat signpost *		
crested viper fountain *		
strange something		
wilted wheatgrass		
wilted wheatgrass		
wisteria crown		
wisteria stem		
wisteria root		
citadel wall rubble		
citadel steps		
rubber ring		
comfy killerpillar head *		
comfy killerpillar body *		
comfy killerpillar tail *		
(bucket)		
(bucket)		
(bucket)		
(bucket)		
<<?>>		
drapery door		
drapery door		
guard's garb		
villager's vesture		
trader's tunic		
drapery door		
drapery door		
<<plumberry tree>>		
<<big rock>>		
<<palm tree>>		
<<fibrous fern>>		
<<cotton plant>>		
potage pot		
medicinal mortar		
swing		
firewood		
farming tools		
sack of wheat		
rice sack		
stackable dracky *		
cloak of evasion		
stackable drackyma *		
stackable drackolyte *		
paper lantern		
fur coat *		
fur coat *		
banner of <player> ***		
research room		
scrumptious salad		
big snowy cedar		
pebbles		
splinters		
big bronze bell		
<<water>>		
fur coat *		
fur coat *		
fur coat *		
blighted butterbeans		
blighted buckwheat		
fur coat *		
cankerous corn		
fur coat *		
poorly stawberry		
off coffee		
fur coat *		
limp leak		
scandalous swimsuit		
poxy potato		
mouldy melon		
seedy sapling		
bad butterbeans		
blighted buckwheat		
cankerous corn		
poorly stawberry		
off coffee		
limp leak		
poxy potato		
putrified pumpkin		
mouldy melon		
wilted wheat		
corrupted coffee		
bilious chilli		
spoiled sugar cane		
rotten rice		
unhealthy heatroot		
<<lulu's demands>>		
petrified plumberry		
perished palm		
seedy-looking cedar		
spoiled silver birch		
manky milkblossom		
decomposing daffodaisy		
corrupted coralily		
manky medicinal bush		
seedy sapling		
golden tile		
blighted blackbell		
poorly purplotus		
sick scarletulip		
ailing emeraldahlia		
unwell ultramarose		
sickly sunflower		
blighted blackbell		
poorly purplotus		
sick scarletulip		
ailing emeraldahlia		
unwell ultramarose		
sickly sunflower		
blackbell seed		
purplotus seed		
scarletulip seed		
emeraldahlia seed		
ultramarose seed		
sunflower seed		
<<babs statue>>		
horizontal log cap		
scallywinkle		
seared scallywinkle		
samurai sword collection		
worn-out workbench		
driftlumber		
driftwood		
seaside seaweed		
golden glow ***		
broken barrel		
starfish		
seaslime shell		
seaweed		
<<reed>>		
slightly soiled note		
blockage		
pebble pile		
toppled column		
dry ivy		
delicious digger's jigger *		
pampas grass		
divine digger's jigger **		
superior savoury smoothie *		
spectacular savoury smoothie **		
seaside sand		
light dolomite		
dark dolomite		
vertical log cap		
stony sand		
power tower 1		
bark		
mossy bark		
<<light bulb>>		
<<destroyed deitree>>		
<<deitree 1>>		
<<deitree 2>>		
stony soil		
arid earth		
masonry wall		
broken masonry		
classical column 8		
classical column pedestal		
cannon tower		
oil		
water-filled bottomless pot		
hot water-filled bottomless pot		
fancy roofing 8		
chert		
fright bulb *		
hydrangea		
cactiball *		
chunky chert		
colossal crag		
crag		
flat fancy roofing		
pitched fancy roofing		
fancy outer corner roofing		
fancy inner corner roofing		
fancy roof window		
fancy roof ridge		
cherry blossom		
spoiled soil		
<<black hole>>		
moss		
castle wall battlement		
castle wall buttress		
humus		
tilled humus		
planted earth		
planted humus		
infernal workbench		
infernal workbench		
infernal workbench		
water lily flower		
lily pad		
mystery mask		
(crafting table)		
she-slimespawn		
scandalous swimsuit		
block head		
rabbit ears		
bandito bandana		
dracky cap		
geeky specs		
(builder's puzzle *)		
<<deitree bare>>		
<<deitree 4 glow>>		
<<deitree 4>>		
<<deitree 5>>		
<<deitree 6 glow>>		
<<deitree 7 glow>>		
scandalous swimsuit		
planting pole		
paper lantern		
scarecrow		
worm food		
wheat seed		
butterbean sprout		
cabbage seed		
buckweat seed		
sweetcorn kernel		
chilli seed		
sugar cane seedling		
strawberry seed		
coffee bean		
leek seed		
potato sprout		
pumpkin seed		
tomato seed		
aubergette seed		
paper lantern		
melon seed		
rice plant seed		
heatroot seed		
gangrenous greenery		
paper lantern		
paper lantern		
paper lantern		
paper lantern		
paper lantern		
paper lantern		
bamboo		
scandalous swimsuit		
pet bowl		
pet bedding		
framed flowers *		
treasure pile *		
wooden bracket		
wooden bracket		
wooden bracket		
wooden bracket		
wooden bracket		
wooden bracket		
wooden bracket		
wooden bracket		
stone hoe		
<<deitree 7>>		
<<glow>>		
<<pink glow>>		
wheat		
butterbean		
cabbage		
buckwheat		
sweetcorn		
chilli pepper		
sugar cane		
strawberry		
coffee beans		
leek		
potato		
pumpkin		
tomato		
aubergette		
pine seedling		
melon		
rice		
heatroot		
pristine plumberry		
pine sapling		
banana		
emblematic clock *		
pine tree		
doors of doom		
sunflowers		
(?)		
meaty marshy mountain		
magic pencil		
diagonal chisel		
red cabbage *		
red-hot chilli pepper		
moreberry *		
plumpkin *		
killer tomato *		
sunny-hued melon *		
white-hot heatroot *		
putrified pine tree		
putrified pine tree		
ward of erdrick		
red pencil sketch		
blue pencil sketch		
green pencil sketch		
yellow pencil sketch		
unidentified dung		
choo-choo train engine 8		
grilled beakfish		
straw bedding		
(?)		
pan-fried marlin		
anglerfish stew		
fish meuniere		
fish and chips		
wooden workbench		
wooden workbench		
wooden workbench		
<<evil sigil>>		
dry grass		
scallywinkle		
milkblossom *		
smoked salmon		
kelp		
umber		
open oceans'		
thug's mug		
fungoulash		
(builder's bell)		
(builder's bell)		
(builder's bell)		
(builder's bell)		
(builder's bell)		
great grilled beakfish *		
stone handrail		
gone-bad bamboo		
gone-bad bamboo		
fertiliser		
plumberry seed		
palm tree seed		
cedar seed		
straight pipe		
right-to-bottom bent pipe		
leftward joint pipe		
(?)		
spleenwort		
mossy stones		
withered sapling		
big withered tree		
withered stump		
mossy spoiled soil		
(?)		
swampy soil		
medicinal shrub seed		
seeded spoiled soil		
seeded spoiled soil		
scandalous swimsuit		
scandalous swimsuit		
infernal workbench *		
scandalous swimsuit		
(?)		
scandalous swimsuit		
residents' register		
cottontail costume		
(?)		
(?)		
rocky column		
mossy rock		
seaweed stack		
withered tree		
(?)		
(?)		
milkblossom seed		
daffodaisy seed		
coralily seed		
sleek shelf		
night soil		
sleek shelf		
frying pan		
sleek shelf		
sleek shelf		
sleek shelf		
banana basket		
sleek shelf		
picket fencing 8		
enormous table		
simple stool		
simple small table		
softwood		
floorboard		
sleek shelf		
sleek shelf		
(?)		
(?)		
ridge tiling		
grass fibre		
sunny card		
cloudy card		
rainy card		
snowy card		
stormy card		
(earth)		
(yellow frame block)		
(slime block)		
(slime balloons)		
drapery door		
monster munchies		
(?)		
seeded spoiled soil		
<<evil aura>>		
(?)		
simple bench		
(?)		
grilled greens		
filthy water-filled bottomless pot		
(?)		
stain extractor		
white coral colony		
pumpkin mask		
kiln		
black coral colony		
purple coral colony		
(?)		
red coral colony		
green coral colony		
<<evil aura>>		
yellow coral colony		
(?)		
concave chisel		
flat chisel		
boom ball		
<<repulse field>>		
lumpy umber		
blue coral colony		
rustic door		
butterbean butter		
pickled heatroot		
(?)		
bubbling seaside sand		
glass floor		
glass door		
white coral		
marshrooms		
saucy spaghetti		
jacket potato		
ra's mirror *		
community chest		
black coral		
rustic door		
barbed blade		
spiked club		
poison needle *		
dragonsbane *		
gigantes's club		
mountaincleaver *		
thunderbolt blade *		
hela's hammer *		
(?)		
cottontail costume		
falcon blade ***		
liquid metal sword *		
builder's workwear		
tortoise shell *		
dragon mail *		
tectonic plate **		
bath towel		
fur coat *		
midenhall garb *		
cannock cloak *		
moonbrooke frock *		
liquid metal armour *		
pot lid		
power shield		
ogre shield		
tempest shield *		
liquid metal shield *		
cottontail costume		
dark bark		
teal leaves		
cannonball		
wooden grating		
cell wall		
swabbing tools		
porthole		
bloodstained soil		
leafy spoiled soil		
pitched wooden roofing		
wooden outer corner roofing		
wooden inner corner roofing		
wooden roof window		
wooden roof ridge		
copper bar		
silver bar		
silver bar		
wheatgrass		
den's drawing		
gold bar level 1		
naviglobe *		
lamprey		
inferneel		
wayfarer's clothes		
wayfarer's clothes		
wayfarer's clothes		
wayfarer's clothes		
wayfarer's clothes		
wayfarer's clothes		
wayfarer's clothes		
wayfarer's clothes		
(?)		
large castle tile		
cottontail costume		
magic outcrop		
purple coral		
knight oddments		
silver birch stump		
(?)		
cottontail costume		
cottontail costume		
cottontail costume		
red coral		
green coral		
yellow coral		
ridge tiling		
golden gauntlets *		
(blueprint)		
(blueprint)		
firework		
firework		
firework		
firework		
firework		
firework		
firework		
firework		
firework		
clam shell		
sponge cake		
cottontail costume		
bath towel		
sweeties		
slime-bun		
superior slime-bun *		
spectacular slime-bun **		
fruit pie		
fine fruit pie *		
finest fruit pie **		
turf 'n' truff		
tastier turf 'n' truff *		
tastiest turf 'n' truff **		
choo-choo train carriage 8		
carpet midsection		
carpet midsection		
carpet midsection		
carpet midsection		
carpet midsection		
carpet midsection		
carpet midsection		
carpet midsection		
fancy carpet		
fancy carpet		
fancy carpet		
fancy carpet		
fancy carpet		
fancy carpet		
fancy carpet		
fancy carpet		
helm		
ridge tiling		
ridge tiling		
chisel		
cracked floorboard		
better base		
even better base		
scaly steak *		
blue coral		
pyramid level 1		
supersized steak		
bath towel		
pumpkin soup		
dragon scale *		
bath towel		
bath towel		
bath towel		
bath towel		
bath towel		
malachite		
(?)		
rustic door		
adobe capital		
adobe wall		
adobe pedestal		
alcoved adobe wall		
large castle tile		
picture frame		
bath towel		
rustic door		
rustic door		
broken vault wall		
vault wall rubble		
connecting window 8		
border boulder		
big border boulder		
fun-sized fountain		
super spouter		
iron stanchion 8		
awning		
playing cards		
carafe collection		
full flagon		
deep-fried feast		
fungusbord		
left-sided counter		
counter midsection		
right-sided counter		
counter corner		
cooking utensils		
left-armed couch		
right-armed couch		
couch corner		
shower		
stone pot		
rustic door		
wooden toilet		
babs's billboard		
drum kit *		
cello *		
price tag		
fancy signpost		
hexagonal planter		
shelf		
cupboard		
drawer		
nameplate		
protective planks		
mining tools		
earth pile		
rock pile		
nameplate		
vineapple		
shineapple		
vineapple		
shineapple		
glumgus		
massive mushroom stem		
massive mushroom cap		
supermassive mushroom cap		
glumgus		
nameplate		
copper floor		
rustic door		
blackened bark		
adobe window		
sizeable stalagmites		
stalagmites		
heartwood *		
stickler's sifter		
sooty softwood		
white dye vein		
black dye vein		
purple dye vein		
pink dye vein		
red dye vein		
green dye vein		
yellow dye vein		
blue dye vein		
sinister sconce		
rustic door		
(blueprint)		
saloon door		
golden key *		
saloon door		
mystery metal *		
nameplate		
firework cannon		
farmer's frappe		
digger's jigger		
prickly pop		
nameplate		
<<spore>>		
<<large spore>>		
gangrenous greenery		
<<beastly burrow>>		
hearty cream cake		
saloon door		
stained-glass window midsection		
track		
timbered wall midsection		
hardwood column midsection		
stone wall midsection		
castle wall midsection		
fortress wall midsection		
saloon door		
adobe wall 8		
citadel column 8		
classical column midsection		
siltstone column 8		
nameplate		
carpet midsection		
goregasbord		
tentagliatelle		
slimy steak		
chop gooey		
golden citadel capital		
golden citadel foundation		
alcoved citadel wall		
citadel window arch		
citadel window midsection		
citadel window sill		
citadel fanlight		
citadel column capital		
citadel column midsection		
citadel column pedestal		
toppled citadel column		
crowned castle column		
citadel column plinth		
citadel wall battlement		
citadel wall buttress		
citadel merlon		
citadel corner capital		
citadel corner mdisection		
citadel corner foundation		
saloon door		
saloon door		
backcombed cut		
bonny bob cut		
pestilential nest		
<<pestilential nest>		
sharpened log		
saloon door		
(blueprint)		
connecting couch 8		
connecting counter 8		
seared steak		
fish stick		
schnitzel		
stir-fry		
sodier's stew		
fruit flambe		
fine fish stick *		
fried fish		
saloon door		
great grilled greens *		
gorgeous grilled greens **		
superior seared steak *		
spectacular seared steak **		
finest fish stick **		
better bread *		
best bread **		
fine fruit flambe *		
finest fruit flambe **		
superior stir-fry *		
spectacular stir-fry **		
superior sodier's stew *		
spectacular sodier's stew **		
castle belvedere		
castle belvedere		
superior sailor's stew *		
spectacular sailor's stew **		
better burger *		
best burger **		
seafood salad		
superior seafood salad *		
spectacular seafood salad **		
fish bowl		
fine fish bowl *		
finest fish bowl **		
buttered toast		
spectacular saucy spaghetti **		
pizza		
whitebait		
hot milk		
butter		
nameplate		
golden castle capital		
alcoved castle wall		
golden castle foundation		
cracked castle tile		
battlefield earth		
castle corner capital		
castle corner midsection		
castle corner foundation		
castle belvedere		
large castle tile		
carpeted steps 8		
carpeted steps midsection		
castle column pedestal		
portcullis		
castle window arch		
castle window midsection		
castle window sill		
castle fanlight		
stage curtain		
castle belvedere		
throne room door		
wall-mounted banner		
brass bracket		
criss-cross leadlight		
four-square leadlight		
plain-pane leadlight		
lightbox		
royal dining table *		
portrait of a princess *		
buildnoculars ***		
broken castle wall		
disfigured throne		
broken citadel wall		
broken stone wall		
wooden fortification		
target dummy		
coffin		
crock pot		
sponge cake		
unholy altar		
tainted glass window arch		
tainted glass window midsection		
tainted glass window sill		
folding screen		
crystal ball		
comfy cushion		
note		
book		
biblio-pile		
small-scale soldier		
small-scale slime		
map		
emblematic table		
floating flower petals		
spa spout		
bathing stool		
trampoline		
(?)		
legendary castle'		
(?)		
tattered banner of erdrick		
burnt branch		
singed shrub		
torched tree		
mussed mop		
fashionable flick		
(?)		
noticeboard		
salutation station		
curly quiff		
lopsided ponytail		
(?)		
hargon's standard		
big bolt		
wooden bracket		
a merchant's journey'		
false idol		
guillotine *		
hargon's throne *		
citadel capital		
citadel foundation 8		
citadel wall midsection		
citadel floor		
pyramidal merlon		
citadel creature carving		
fiendish face		
peculiar pillar		
citadel spear symbol		
citadel cross carving		
(builder's puzzle *)		
(builder's puzzle *)		
(?)		
'never-ending journey'		
classic curtains		
impressive tresses		
(?)		
sign of the builder		
(door)		
stripy salmon		
herring		
coelacanth		
pilchard		
colourful carp		
magmackerel		
a warrior's journey'		
(?)		
(?)		
(?)		
lonely village'		
borderless carpet		
gold trophy ***		
silver trophy **		
bronze trophy *		
(?)		
(?)		
participation trophy		
red erdrick's choice award		
gold medal **		
silver medal **		
bronze medal *		
(?)		
participation medal		
(pot)		
citadel wall 8		
ridge tiling		
(?)		
borrowed hammer		
borrowed medicinal herb		
borrowed sword		
borrowed clothes		
<<grandfather clock>>		
<<pillar>>		
<<tattered banner>>		
ridge tiling		
white paint		
black paint		
purple paint		
pink paint		
red paint		
green paint		
yellow paint		
blue paint		
buried rockbomb		
large castle tile		
large castle tile		
large castle tile		
large castle tile		
large castle tile		
(?)		
lightbox		
lightbox		
lightbox		
lightbox		
lightbox		
lightbox		
lightbox		
lightbox		
capsized crate		
ropy horizontal log		
ropy vertical log		
blackbell		
purplotus		
scarletulip		
emeraldahlia		
ultramarose		
castle belvedere		
castle belvedere		
(cedar tree)		
(snowy cedar)		
(plumberry)		
tainted glass window		
gold bar level 2		
vault tile		
gold bar level 3		
farming gear		
nun's habit		
troubadour's togs		
castle belvedere		
stone workbench		
stone workbench		
(?)		
iron workbench		
iron workbench		
castle belvedere		
(?)		
(?)		
(?)		
shrine theme'		
shining city'		
horizontal log 8		
castle corner 8		
castle window 8		
crispy kelp		
gungerbread of immunity		
large castle tile		
full moon gungerbread		
gungerbread of clarity		
simple supper set		
tilled soil		
(blueprint - brick)		
brick border corner		
right-bordered carpeted steps		
left-bordered carpeted steps		
wrangler's ring		
stuffed omelette		
gungerbread of awakening		
castle belvedere		
pure water		
hot water		
poison		
rice pudding		
throne room door		
throne room door		
liquid lava		
(?)		
muddy water		
cheesy risotto		
throne room door		
throne room door		
throne room door		
throne room door		
throne room door		
throne room door		
meat mountain		
floating flower petals		
floating flower petals		
seawater		
plasma		
floating flower petals		
floating flower petals		
floating flower petals		
floating flower petals		
floating flower petals		
broken vault wall		
broken masonry		
viny vault wall		
cracked vault wall		
masonry wall		
